,start_value,bottom_value,difference,percent_diff
1996,707866.67,680233.33,-27633.340000000084,-0.039037492752696044
1997,443966.67,430733.33,-13233.339999999967,-0.029807057363112344
1998,161233.33,157866.67,-3366.6599999999744,-0.02088067026836185
1999,245600.0,225933.33,-19666.670000000013,-0.0800760179153095
2000,107500.0,105833.33,-1666.6699999999983,-0.01550390697674417
2001,187400.0,188233.33,833.3299999999872,0.004446798292422557
2002,342466.67,324733.33,-17733.339999999967,-0.051781214212758185
2004,67300.0,64866.67,-2433.3300000000017,-0.03615646359583955
2005,286333.33,273100.0,-13233.330000000016,-0.0462165197464089
2007,356633.33,325366.67,-31266.660000000033,-0.08767172714900212
2008,305200.0,282600.0,-22600.0,-0.07404980340760157
2010,166766.67,160333.33,-6433.340000000026,-0.03857689309260672
2011,153666.67,154266.67,600.0,0.003904555229836112
2012,922133.33,869100.0,-53033.32999999996,-0.0575115639730753
2013,211400.0,209333.33,-2066.670000000013,-0.009776111636707724
2014,209166.67,189933.33,-19233.340000000026,-0.09195222164219578
2016,267566.67,247766.67,-19799.99999999997,-0.07400024823719625
2017,1051400.0,986466.67,-64933.32999999996,-0.061758921438082516
2018,536233.33,509633.33,-26599.99999999994,-0.04960527164546065
2019,212166.67,190466.67,-21700.0,-0.10227808166098849
2020,239900.0,229800.0,-10100.0,-0.04210087536473531
2021,179933.33,155533.33,-24400.0,-0.13560578243063695
2022,417733.33,397233.33,-20500.0,-0.04907437000538118
2023,279566.67,265566.67,-14000.0,-0.05007750029715631
2024,860500.0,803433.33,-57066.67000000004,-0.06631803602556657
2025,330200.0,306966.67,-23233.330000000016,-0.07036138703815874
2027,197333.33,182433.33,-14900.0,-0.07550675803220876
2028,660900.0,627200.0,-33700.0,-0.05099107277954305
2029,395100.0,363500.0,-31600.0,-0.07997975196152873
2030,161633.33,152333.33,-9300.0,-0.057537637812696184
2031,242666.67,159233.33,-83433.34000000003,-0.34381870406842446
2032,175566.67,166300.0,-9266.670000000013,-0.05278148751126858
2033,119566.67,113266.67,-6300.0,-0.05269026895204157
2034,254100.0,244333.33,-9766.670000000013,-0.03843632428177888
2035,300166.67,287466.67,-12700.0,-0.0423098274035555
